 2787.46, 1.40355e-15
 2790.24, 1.55716e-15
 2793.03, 1.68877e-15
 2795.82, 1.66642e-15
 2798.61, 1.68749e-15
 2801.39, 1.64824e-15
 2804.18, 1.42680e-15
 2806.97, 1.35804e-15
 2809.76, 1.06216e-15
 2812.54, 9.65672e-16
 2815.33, 9.83352e-16
 2818.12, 8.31240e-16
 2820.91, 7.02318e-16
 2823.69, 7.23773e-16
 2826.48, 7.82226e-16
 2829.27, 5.47725e-16
 2832.06, 5.47343e-16
 2834.84, 4.21921e-16
 2837.63, 5.31399e-16
 2840.42, 5.06545e-16
 2843.21, 5.29683e-16
 2845.99, 5.08659e-16
 2848.78, 3.27626e-16
 2851.57, 3.94145e-16
 2854.36, 3.86323e-16
 2857.14, 3.01933e-16
 2859.93, 2.23780e-16
 2862.72, 2.68701e-16
 2865.51, 9.97198e-17
 2868.29, 2.59023e-16
 2871.08, 2.10897e-16
 2873.87, 1.83710e-16
 2876.66, 1.84518e-16
 2879.44, 1.59870e-16
 2882.23, 1.01719e-16
 2885.02, 7.70725e-17
 2887.80, 1.02106e-16
 2890.59,  0.00000
 2893.38, 4.00783e-17
 2896.17, 1.01015e-16
 2898.95, 2.07205e-16
 2901.74, 8.25912e-17
 2904.53, 9.61500e-17
 2907.32, 1.21182e-16
 2910.10, 9.84623e-17
 2912.89, 9.68877e-17
 2915.68, 1.11553e-16
 2918.47, 1.55877e-16
 2921.25, 1.82750e-16
 2924.04, 1.91748e-16
 2926.83, 2.09101e-16
 2929.62, 2.02787e-16
 2932.40, 1.81643e-16
 2935.19, 2.73852e-16
 2937.98, 3.17574e-16
 2940.77, 3.11594e-16
 2943.55, 3.20759e-16
 2946.34, 1.99393e-16
 2949.13, 2.37554e-16
 2951.92, 2.24942e-16
 2954.70, 2.86018e-16
 2957.49, 2.94994e-16
 2960.28, 2.79089e-16
 2963.07, 2.51927e-16
 2965.85, 2.25744e-16
 2968.64, 2.56312e-16
 2971.43, 2.29044e-16
 2974.22, 1.97551e-16
 2977.00, 2.17459e-16
 2979.79, 2.74331e-16
 2982.58, 2.45407e-16
 2985.37, 1.91265e-16
 2988.15, 2.15915e-16
 2990.94, 1.96244e-16
 2993.73, 1.47207e-16
 2996.52, 1.80620e-16
 2999.30, 1.46726e-16
 3002.09, 1.63037e-16
 3004.88, 1.53703e-16
 3007.67, 1.37615e-16
 3010.45, 6.18134e-17
 3013.24, 6.35160e-17
 3016.03, 1.27592e-16
 3018.82, 4.45587e-17
 3021.60, 2.09585e-17
 3024.39, 1.00769e-16
 3027.18, 1.10247e-16
 3029.97, 7.10187e-17
 3032.75, 1.03079e-16
 3035.54, 1.18821e-16
 3038.33, 1.20791e-16
 3041.11, 1.14189e-16
 3043.90, 1.10909e-16
 3046.69, 1.21914e-16
 3049.48, 1.72410e-16
 3052.26, 9.73287e-17
 3055.05, 1.81381e-16
 3057.84, 1.30863e-16
 3060.63, 1.37309e-16
 3063.41, 1.45780e-16
 3066.20, 1.50771e-16
 3068.99, 1.36047e-16
 3071.78, 8.58349e-17
 3074.56, 9.41729e-17
 3077.35, 1.38286e-16
 3080.14, 1.20144e-16
 3082.93, 1.29020e-16
 3085.71, 1.14853e-16
 3088.50, 1.80444e-16
 3091.29, 1.63030e-16
 3094.08, 1.56460e-16
 3096.86, 1.75243e-16
 3099.65, 1.92685e-16
 3102.44, 1.86990e-16
 3105.23, 2.09073e-16
 3108.01, 2.04863e-16
 3110.80, 1.96673e-16
 3113.59, 2.25378e-16
 3116.38, 2.55052e-16
 3119.16, 2.44697e-16
 3121.95, 2.55462e-16
 3124.74, 2.83147e-16
 3127.53, 3.02541e-16
 3130.31, 2.80110e-16
 3133.10, 2.94117e-16
 3135.89, 2.68995e-16
 3138.68, 2.59572e-16
 3141.46, 2.70905e-16
 3144.25, 2.54700e-16
 3147.04, 2.84447e-16
 3149.83, 3.15128e-16
 3152.61, 2.34692e-16
 3155.40, 3.04867e-16
 3158.19, 3.64026e-16
 3160.98, 3.22764e-16
 3163.76, 3.61356e-16
 3166.55, 3.23409e-16
 3169.34, 3.41030e-16
 3172.13, 4.03968e-16
 3174.91, 4.04815e-16
 3177.70, 3.86550e-16
 3180.49, 4.28291e-16
 3183.28, 3.58883e-16
 3186.06, 3.46476e-16
 3188.85, 3.77288e-16
 3191.64, 3.70963e-16
 3194.43, 3.86268e-16
 3197.21, 3.56464e-16
 3200.00, 3.52734e-16
 3202.79, 3.71668e-16
 3205.57, 3.26511e-16
 3208.36, 3.38642e-16
 3211.15, 3.19851e-16
 3213.94, 3.78336e-16
 3216.72, 3.90948e-16
 3219.51, 3.73680e-16
 3222.30, 4.13230e-16
 3225.09, 3.85365e-16
 3227.87, 3.47620e-16
 3230.66, 3.50874e-16
 3233.45, 3.54179e-16
 3236.24, 3.94907e-16
 3239.02, 3.27459e-16
 3241.81, 3.83675e-16
 3244.60, 3.58286e-16
 3247.39, 3.62042e-16
 3250.17, 3.11237e-16
 3252.96, 3.93187e-16
 3255.75, 3.89812e-16
 3258.54, 3.16983e-16
 3261.32, 3.75248e-16
 3264.11, 3.73260e-16
 3266.90, 2.99596e-16
 3269.69, 3.20157e-16
 3272.47, 3.49532e-16
 3275.26, 3.29727e-16
 3278.05, 3.58202e-16
 3280.84, 3.82066e-16
 3283.62, 3.77050e-16
 3286.41, 3.37819e-16
 3289.20, 3.46235e-16
 3291.99, 3.31247e-16
 3294.77, 3.60854e-16
 3297.56, 3.83712e-16
 3300.35, 3.28796e-16
 3303.14, 3.24457e-16
