mjdarr,bbbmodel,sbbbmodel,synmodel,ssynmodel,bbodymodel,sbbodymodel,total,stotal 
55622.35546875,1.476127593010997e-12,2.0194839173657902e-28,7.4200046916070246e-12,2.357662064277479e-13,1.2757046809945131e-12,2.8548813872504259e-13,9.3191256346920187e-12,2.7957376904076054e-13
55654.12890625,1.476127593010997e-12,2.0194839173657902e-28,4.8820089579617838e-14,1.6563488002975813e-13,3.0823515618778162e-12,1.34702088684877e-13,4.9573767304910989e-12,1.4872130191473297e-13
55709.2578125,1.476127593010997e-12,2.0194839173657902e-28,1.0151973230429246e-12,2.0104483035884735e-14,2.8580140740518436e-12,3.378575574037157e-14,3.9968538262569717e-12,1.1990561478770915e-13
55726.7734375,1.476127593010997e-12,2.0194839173657902e-28,4.8265465689321418e-12,5.3318504111961739e-14,1.2867891505645148e-13,4.3001748116844084e-14,6.4079724441170038e-12,1.922391733235101e-13
55741.0234375,1.476127593010997e-12,2.0194839173657902e-28,2.5226893564612981e-12,1.7556314705622559e-13,2.3101795575995941e-12,2.5670699939607455e-13,5.4324714540793585e-12,1.6297414362238074e-13
55893.89453125,1.476127593010997e-12,2.0194839173657902e-28,1.169322877095993e-13,1.1075295217584249e-13,1.6580380255993527e-12,2.0812695379168178e-13,2.4521818336950883e-12,7.3565455010852644e-14
55924.94921875,1.476127593010997e-12,2.0194839173657902e-28,3.4374909108214442e-13,7.1275766569422021e-14,1.7128268901084368e-12,1.117781704850143e-13,2.8155447656145364e-12,8.4466342968436086e-14
55952.4453125,1.476127593010997e-12,2.0194839173657902e-28,6.257869453369812e-13,2.4804169675220295e-13,1.8830979417741888e-12,3.701063542068709e-13,3.1895416352685917e-12,9.5686249058057746e-14
55975.078125,1.476127593010997e-12,2.0194839173657902e-28,2.5132483091165758e-13,1.8666541017768097e-13,1.6519319072343125e-12,2.7426639836990287e-13,2.8100615975893957e-12,8.4301847927681864e-14
56010.8671875,1.476127593010997e-12,2.0194839173657902e-28,2.5355781162787267e-13,9.7813020176138441e-14,1.8420064000834359e-12,1.667800594576258e-13,2.7641578629161193e-12,8.2924735887483577e-14
56043.6328125,1.476127593010997e-12,2.0194839173657902e-28,1.4310863582784397e-13,5.2832195068546372e-21,1.928600062244062e-12,1.5976521467540008e-14,2.800594162915526e-12,8.4017824887465784e-14
56069.91015625,1.476127593010997e-12,2.0194839173657902e-28,1.3595451071264746e-12,1.5237645399703461e-13,1.957825533005503e-12,2.181741153000432e-13,4.1809166744709118e-12,1.2542750023412735e-13
56095.609375,1.476127593010997e-12,2.0194839173657902e-28,6.2911460875834056e-13,8.7551727574861106e-14,2.059006531273014e-12,1.3414421546076576e-13,3.3523094912206741e-12,1.0056928473662022e-13
56244.51171875,1.476127593010997e-12,2.0194839173657902e-28,1.1641643254666186e-12,1.0418430006416408e-13,2.414712585679923e-12,1.577412306387889e-13,3.9790939940101389e-12,1.1937281982030417e-13
56271.1015625,1.476127593010997e-12,2.0194839173657902e-28,1.0187387710257613e-12,2.8583759043818142e-13,2.4257061431313713e-12,4.2896192444299672e-13,3.8210726850827241e-12,1.1463218055248172e-13
56307.9296875,1.476127593010997e-12,2.0194839173657902e-28,6.3039263815327479e-13,2.6486758540792117e-13,2.8115435775298721e-12,3.9388780294123271e-13,3.6991279636639314e-12,1.1097383890991794e-13
56330.7578125,1.476127593010997e-12,2.0194839173657902e-28,5.8316096534065905e-13,2.0091415353919466e-13,2.5378655059944537e-12,3.1879109222712416e-13,3.379163438200449e-12,1.0137490314601347e-13
56362.15234375,1.476127593010997e-12,2.0194839173657902e-28,4.564299287351321e-13,9.1720967367187345e-14,2.359741333857432e-12,1.4952571391384826e-13,3.1776581255765567e-12,9.5329743767296703e-14
56394.6953125,1.476127593010997e-12,2.0194839173657902e-28,4.9055402694936629e-13,7.4662952973909371e-15,2.1543005158687614e-12,1.682171571219493e-14,3.0915664639743678e-12,9.2746993919231026e-14
56423.609375,1.476127593010997e-12,2.0194839173657902e-28,4.3902546387865634e-13,1.3563692990958599e-13,2.2926953791883667e-12,2.178939475671797e-13,3.1339419510761343e-12,9.401825853228402e-14
56445.24609375,1.476127593010997e-12,2.0194839173657902e-28,5.115897803898485e-13,6.7172521038737664e-21,2.5458036842352607e-12,1.3873883556209018e-14,3.4068940618864325e-12,1.0220682185659297e-13
56624.5,1.476127593010997e-12,2.0194839173657902e-28,6.8168870232127825e-12,4.5299504613355709e-13,3.1698513294458141e-12,6.0112334857033744e-13,1.0071582773019168e-11,3.0214748319057505e-13
56654.984375,1.476127593010997e-12,2.0194839173657902e-28,6.3482755871097133e-12,2.8680772332125408e-13,3.0223266681236958e-12,3.9405228340902145e-13,9.0123733825331086e-12,2.7037120147599326e-13
56693.6640625,1.476127593010997e-12,2.0194839173657902e-28,3.2873422214104975e-12,2.9934143372633918e-13,3.1737487753908194e-12,4.0724576252077441e-13,6.6043293745168676e-12,1.9812988123550603e-13
